question,possible answers,Right answer,topic
Which sport involves dribbling and shooting a ball through a hoop?,"A. Soccer, B. Basketball, C. Tennis, D. Volleyball",B. Basketball,sport
What is the most popular sport worldwide?,"A) Football (Soccer), B) Basketball, C) Cricket, D) Tennis",A) Football (Soccer),sport
Which sport is also known as table tennis?,"A) Badminton , B) Tennis , C) Ping pong , D) Squash ",C) Ping pong,sport
Who won the Super Bowl in 2021?,"A) Tampa Bay Buccaneers, B) San Francisco 49ers, C) Kansas City Chiefs, D) New England Patriots",A) Tampa Bay Buccaneers,sport
What is the name of the most popular sport in the United States?,"a) Football, b) Baseball, c) Basketball, d) Soccer",a) Football,sport
How many players are on a basketball team?,"A. 5, B. 12, C. 7, D. 9",A. 5,sport
What is the most popular sport in the world?,"A) Football (Soccer) , B) Basketball , C) Football (American) , D) Cricket",A) Football (Soccer),sport
What is the national sport of Canada?,"a) Soccer, b) Baseball, c) Hockey, d) Basketball",c) Hockey,sport
Who holds the record for the most Olympic gold medals in history?,"A) Michael Phelps, B) Usain Bolt, C) Simone Biles, D) Katie Ledecky",A) Michael Phelps with a total of 23 Olympic gold medals.,sport
What is the national sport of Canada?,"a) Baseball, b) Hockey, c) Basketball, d) Soccer",b) Hockey,sport
Which sport is played on a court with a net in the middle?,"A) Soccer, B) Basketball, C) Tennis, D) Golf",C) Tennis,sport
1. Who won the 2020 NBA Finals? ,"a) Los Angeles Lakers , b) Boston Celtics , c) Houston Rockets , d) Golden State Warriors ",a) Los Angeles Lakers,sport
In what year did Michael Jordan win his first NBA championship with the Chicago Bulls?,"A) 1989, B) 1990, C) 1991, D) 1992",C) 1991,sport
Which sport is not played with a ball?,"A. Soccer, B. Volleyball, C. Basketball, D. Tennis, E. Boxing",E. Boxing is the correct answer as it is a sport played without a ball.,sport
"Which sport is often referred to as ""The beautiful game""?","a. Football (soccer), b. Tennis, c. Basketball, d. Volleyball",a. Football (soccer),sport
What is the most popular sport in the world?,"a) Football/soccer, b) Basketball, c) Baseball, d) Tennis",a) Football/soccer,sport
What is the name of the national sport of Russia?,"a) Hockey, b) Football, c) Rugby, d) Tennis",a) Hockey,sport
Who owns the record for the most Olympic gold medals of all time?,"A) Usain Bolt, B) Michael Phelps, C) Simone Biles, D) Serena Williams",B) Michael Phelps,sport
What sport does Cristiano Ronaldo play?,"A) Basketball , B) Tennis , C) Soccer , D) Volleyball",C) Soccer,sport
What is the most popular sport in the world?,"A. Basketball, B. American football, C. Soccer, D. Cricket",C. Soccer,sport
Who won the gold medal in the men's 100m race at the 2020 Tokyo Olympics?,"A) Usain Bolt, B) Andre De Grasse, C) Justin Gatlin, D) Trayvon Bromell",B) Andre De Grasse,sport
What is the most popular sport in the world?,"A) Basketball, B) Football (Soccer), C) Baseball, D) Tennis",B) Football (Soccer),sport
What is the national sport of India?,"a) Cricket, b) Football, c) Hockey, d) Tennis",c) Hockey,sport
Who is considered as the greatest basketball player of all time?,"A) Michael Jordan, B) LeBron James, C) Kobe Bryant, D) Magic Johnson",A) Michael Jordan,sport
What is the most popular sport in the world?,"a) Cricket, b) Baseball, c) Soccer, d) Tennis",c) Soccer,sport
"What sport is known as ""The Beautiful Game""?","A) Baseball , B) Basketball , C) Soccer, D) Football ",C) Soccer,sport
"Which sport is called ""The Beautiful Game""?","A) Basketball, B) Soccer, C) Baseball, D) American Football",B) Soccer,sport
Who was the first woman to win an Olympic medal in track and field?,"A) Wilma Rudolph, B) Jackie Joyner-Kersee, C) Babe Didrikson Zaharias, D) Alice Coachman",Correct answer: D) Alice Coachman,sport
Who has won the most Olympic gold medals of all time?,"A) Usain Bolt, B) Michael Phelps, C) Simone Biles, D) Jesse Owens, E) Muhammad Ali","The correct answer is B) Michael Phelps, who won a total of 23 Olympic gold medals in swimming.",sport
What is the most popular sport worldwide?,"A. Soccer, B. American Football, C. Basketball, D. Tennis",A. Soccer,sport
What is the most popular sport in the world?,"A) Football (Soccer), B) Basketball, C) Baseball, D) Rugby",A,sport
What is the highest individual score in a One Day International cricket match?,"a) 180, b) 264, c) 501, d) 890",(b) 264,sport
Which sport is played on ice and involves skating and shooting at a target?,"A. Hockey , B. Curling , C. Figure Skating , D. Skiing",B. Curling.,sport
Which country has won the most Olympic gold medals in basketball?,"a) United States, b) China, c) Russia, d) Spain",a) United States,sport
In what year did the first modern Olympic Games take place?,"a) 1896, b) 1912, c) 1928, d) 1944",a) 1896,sport
Who won the 2018 FIFA World Cup?,"A) Spain, B) Germany, C) France, D) Argentina",C) France,sport
What sport involves hitting a ball over a net?,"A. Soccer, B. Baseball, C. Basketball, D. Tennis",D. Tennis,sport
Who won the 2018 FIFA World Cup?,"A) Germany , B) Brazil , C) France , D) Argentina",C) France,sport
Who is the all-time leading scorer in NBA history?,"A) Michael Jordan, B) Kobe Bryant, C) Kareem Abdul-Jabbar, D) LeBron James",C) Kareem Abdul-Jabbar,sport
Which player holds the record for most goals scored in a single World Cup?,"a) Cristiano Ronaldo, b) Lionel Messi, c) Pelé, d) Diego Maradona",c) Pelé,sport
What is the national sport of Canada?,"A) Hockey, B) Baseball, C) Football, D) Basketball",A) Hockey,sport
What is the most popular sport in the world?,"A) Soccer, B) Basketball, C) Baseball, D) Tennis",A) Soccer,sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Cricket, D) Tennis",A,sport
Who won the 2019 FIFA Women's World Cup?,"a) Germany, b) Brazil, c) United States, d) England",c) United States,sport
What is the highest score you can achieve in a single frame of bowling?,"A) 10, B) 100, C) 300, D) 50",A) 10,sport
What sport involves players hitting a small ball over a net using racquets?,"A. Tennis , B. Basketball, C. Football, D. Boxing ",A. Tennis,sport
Which country won the most Olympic gold medals in the 2016 Rio Olympics?,"a) United States, b) China, c) Great Britain, d) Russia",a) United States.,sport
Which of these sports uses a ball as its primary tool?,"A) Basketball, B) Swimming, C) Gymnastics, D) Wrestling",A) Basketball,sport
Who won the FIFA World Cup in 2018?,"a. Argentina, b. Brazil, c. Germany, d. France",d. France,sport
Which of the following sports is played on a pitch?,"a) Basketball, b) Football, c) Golf, d) Swimming",b) Football,sport
What is the most popular sport worldwide?,"A. Football (soccer), B. Basketball, C. Cricket, D. Baseball",A,sport
Who holds the record for the most Olympic gold medals in history? ,"A. Michael Phelps , B. Usain Bolt , C. Simone Biles , D. Kobe Bryant ",A. Michael Phelps,sport
Which sport requires a player to use a racket and hit a shuttlecock over a net?,"a. tennis , b. volleyball , c. badminton , d. basketball ",c. badminton,sport
Who is the all-time leading scorer in the NBA?,"A) Kobe Bryant, B) Kareem Abdul-Jabbar, C) Michael Jordan, D) LeBron James",B) Kareem Abdul-Jabbar,sport
Who is the all-time leading scorer in NBA history?,"A) Michael Jordan, B) Kobe Bryant, C) Kareem Abdul-Jabbar, D) LeBron James",C) Kareem Abdul-Jabbar.,sport
What is the most popular sport in the world?,"a) Soccer (football), b) Basketball, c) Baseball, d) Tennis",a) Soccer (football),sport
Which sport is commonly called 'The Beautiful Game'?,"A. Rugby, B. Basketball, C. Football, D. Tennis",C. Football,sport
"What sport is known as ""The beautiful game""? ","A) Basketball, B) American Football, C) Soccer, D) Baseball",Correct answer: C) Soccer,sport
Who won the FIFA World Cup in 2018?,"A) Germany, B) Spain, C) Brazil, D) France",D) France,sport
Which sport involves throwing a small ball at a set of pins?,"A) Tennis, B) Golf, C) Bowling, D) Soccer",C) Bowling,sport
"What sport is often referred to as ""The Beautiful Game""?","a) rugby, b) basketball, c) football (soccer), d) baseball",c) football (soccer),sport
What is the name of the famous basketball player who won 6 NBA championships with the Chicago Bulls?,"a. Michael Jordan, b. Kobe Bryant, c. LeBron James, ""d. Shaquille ONeal""",a. Michael Jordan,sport
What Olympic swimmer has won the most gold medals?,"A) Michael Jordan, B) Michael Phelps, C) Michael Johnson, D) Michael Schumacher",B) Michael Phelps,sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Tennis, D) Cricket",A) Football (soccer),sport
What is the national sport of Canada?,"A. Hockey, B. Football, C. Basketball, D. Baseball",A. Hockey.,sport
What is the most popular sport in the world?,"A) Football (soccer), B) Basketball, C) Tennis, D) Baseball",A) Football (soccer),sport
What is the most popular sport in the world?,"A) Soccer, B) Basketball, C) Baseball, D) Tennis",Right answer: A) Soccer.,sport
What is the most popular sport in the world?,"A) Football, B) Basketball, C) Baseball, D) Soccer",D) Soccer,sport
In which sport do players use a shuttlecock?,"a) Tennis, b) Badminton, c) Volleyball, d) Soccer",b) Badminton,sport
Who won the 2019 FIFA Women's World Cup? ,"A. United States , B. Sweden , C. France , D. England ",A. United States,sport
